Filename,Camera,Model,Detected_Diameter_mm,Status
cam2__YED__26335__20260410_204740_611638.jpg,cam2,YED,15.18,2
cam2__YCA__44889__20260410_204832_942095.jpg,cam2,YCA,13.06,2
cam1__YCA__44889__20260410_204833_036263.jpg,cam1,YCA,12.94,2
cam1__YED__26336__20260410_204924_451220.jpg,cam1,YED,15.18,2
cam2__YED__26336__20260410_204924_559019.jpg,cam2,YED,15.06,2
cam1__YED__57782__20260410_205018_995648.jpg,cam1,YED,14.94,2
cam2__YED__57782__20260410_205019_001042.jpg,cam2,YED,15.06,2
cam1__YED__26337__20260410_205112_271022.jpg,cam1,YED,15.18,2
cam2__YED__26337__20260410_205112_139109.jpg,cam2,YED,14.94,2
cam1__YCA__44890__20260410_205209_668364.jpg,cam1,YCA,13.06,2
cam2__YCA__44890__20260410_205209_679801.jpg,cam2,YCA,12.94,2
cam2__YED__26338__20260410_205301_227225.jpg,cam2,YED,15.06,2
cam1__YED__26338__20260410_205301_150021.jpg,cam1,YED,15.18,2
cam1__YCA__44891__20260410_205416_719565.jpg,cam1,YCA,13.18,2
cam2__YCA__44891__20260410_205416_719565.jpg,cam2,YCA,13.06,2
cam2__YED__26339__20260410_205508_161471.jpg,cam2,YED,15.18,2
cam1__YED__26339__20260410_205508_227278.jpg,cam1,YED,15.18,2
cam1__YED__57783__20260410_205602_344043.jpg,cam1,YED,15.06,2
cam2__YED__57783__20260410_205602_373335.jpg,cam2,YED,15.18,2
cam2__YED__26340__20260410_205655_898127.jpg,cam2,YED,14.94,2
cam1__YED__26340__20260410_205655_898127.jpg,cam1,YED,15.18,2
cam1__YCA__44892__20260410_205747_314415.jpg,cam1,YCA,13.06,2
cam2__YCA__44892__20260410_205747_332169.jpg,cam2,YCA,13.06,2
cam2__YED__26341__20260410_205838_800255.jpg,cam2,YED,15.06,2
cam1__YED__26341__20260410_205838_897380.jpg,cam1,YED,15.18,2
cam2__YCA__44893__20260410_205934_299404.jpg,cam2,YCA,13.18,2
cam1__YCA__44893__20260410_205934_299404.jpg,cam1,YCA,12.71,1
cam2__YED__26342__20260410_210025_527374.jpg,cam2,YED,14.94,2
cam1__YED__26342__20260410_210025_218188.jpg,cam1,YED,15.18,2
cam1__YCA__44894__20260410_210120_145434.jpg,cam1,YCA,13.18,2
cam2__YCA__44894__20260410_210120_141287.jpg,cam2,YCA,13.18,2
cam2__YED__26343__20260410_210211_511356.jpg,cam2,YED,15.18,2
cam1__YED__26343__20260410_210211_537470.jpg,cam1,YED,15.18,2
cam1__YED__57784__20260410_210307_029580.jpg,cam1,YED,15.18,2
cam2__YED__57784__20260410_210307_029580.jpg,cam2,YED,14.94,2
cam2__YCA__5668__20260410_210400_484689.jpg,cam2,YCA,13.18,2
cam1__YCA__5668__20260410_210400_482687.jpg,cam1,YCA,12.94,2
cam2__YED__57785__20260410_210449_511176.jpg,cam2,YED,14.94,2
cam2__YED__26344__20260410_210546_230953.jpg,cam2,YED,15.18,2
cam1__YED__26344__20260410_210546_267193.jpg,cam1,YED,15.18,2
cam1__YCA__44895__20260410_210640_765728.jpg,cam1,YCA,13.18,2
cam2__YCA__44895__20260410_210640_658364.jpg,cam2,YCA,12.71,1
cam2__YED__26345__20260410_210732_239550.jpg,cam2,YED,15.18,2
cam1__YED__26345__20260410_210732_129536.jpg,cam1,YED,15.18,2
cam2__YED__57786__20260410_210826_630359.jpg,cam2,YED,15.18,2
cam1__YED__57786__20260410_210826_520779.jpg,cam1,YED,14.94,2
cam2__YED__26346__20260410_210918_980375.jpg,cam2,YED,15.18,2
cam1__YED__26346__20260410_210919_082132.jpg,cam1,YED,15.18,2
cam2__YCA__44896__20260410_211011_314688.jpg,cam2,YCA,12.94,2
cam1__YCA__44896__20260410_211011_428581.jpg,cam1,YCA,13.18,2
cam1__YED__26347__20260410_211102_861616.jpg,cam1,YED,15.18,2
cam2__YED__26347__20260410_211102_886560.jpg,cam2,YED,15.18,2
cam1__YED__57787__20260410_211157_270273.jpg,cam1,YED,15.18,2
cam2__YED__57787__20260410_211157_247580.jpg,cam2,YED,15.18,2
cam2__YCA__5669__20260410_211249_783046.jpg,cam2,YCA,13.06,2
cam1__YCA__5669__20260410_211249_649539.jpg,cam1,YCA,13.18,2
cam2__YED__57788__20260410_211341_305481.jpg,cam2,YED,15.18,2
cam1__YED__57788__20260410_211341_209905.jpg,cam1,YED,15.18,2
cam1__YED__26348__20260410_211435_629556.jpg,cam1,YED,15.18,2
cam2__YED__26348__20260410_211435_737214.jpg,cam2,YED,15.18,2
cam2__YCA__44897__20260410_211528_571328.jpg,cam2,YCA,12.94,2
cam1__YCA__44897__20260410_211528_892498.jpg,cam1,YCA,13.18,2
cam2__YED__26349__20260410_211620_409464.jpg,cam2,YED,15.18,2
cam1__YED__26349__20260410_211620_337312.jpg,cam1,YED,15.18,2
cam1__YCA__44898__20260410_211713_850901.jpg,cam1,YCA,13.06,2
cam2__YCA__44898__20260410_211713_321033.jpg,cam2,YCA,13.18,2
cam1__YED__26350__20260410_211805_105405.jpg,cam1,YED,15.18,2
cam2__YED__26350__20260410_211805_089026.jpg,cam2,YED,14.94,2
cam2__YED__57789__20260410_211909_947353.jpg,cam2,YED,15.18,2
cam1__YED__57789__20260410_211909_487900.jpg,cam1,YED,15.18,2
cam2__YED__26351__20260410_212003_305269.jpg,cam2,YED,14.94,2
cam1__YED__26351__20260410_212003_258581.jpg,cam1,YED,14.94,2
cam2__YCA__44899__20260410_212054_069196.jpg,cam2,YCA,12.71,1
cam1__YCA__44899__20260410_212054_558069.jpg,cam1,YCA,13.18,2
cam2__YED__26352__20260410_212145_947429.jpg,cam2,YED,14.94,2
cam1__YED__26352__20260410_212146_101991.jpg,cam1,YED,15.18,2
cam2__YCA__44900__20260410_212302_539709.jpg,cam2,YCA,12.71,1
cam2__YED__26353__20260410_212442_157122.jpg,cam2,YED,14.94,2
cam2__YCA__44901__20260410_212535_517585.jpg,cam2,YCA,13.06,2
cam2__YED__26354__20260410_212627_132696.jpg,cam2,YED,15.18,2
cam1__YCA__44900__20260410_212302_017410.jpg,cam1,YCA,N/A,0
cam2__YED__57790__20260410_212721_884890.jpg,cam2,YED,14.94,2
cam1__YED__57790__20260410_212721_980665.jpg,cam1,YED,14.94,2
cam2__YED__26355__20260410_212814_792671.jpg,cam2,YED,15.18,2
cam1__YED__26355__20260410_212815_293392.jpg,cam1,YED,15.18,2
cam1__YCA__44902__20260410_212907_796679.jpg,cam1,YCA,12.94,2
cam2__YCA__44902__20260410_212907_880943.jpg,cam2,YCA,12.71,1
cam2__YED__26356__20260410_212959_154770.jpg,cam2,YED,14.94,2
cam1__YED__26356__20260410_212959_150884.jpg,cam1,YED,15.18,2
cam2__YED__57791__20260410_213053_685305.jpg,cam2,YED,15.18,2
cam1__YED__57791__20260410_213053_671526.jpg,cam1,YED,14.94,2
cam2__YED__26357__20260410_213147_181536.jpg,cam2,YED,15.18,2
cam1__YED__26357__20260410_213147_212228.jpg,cam1,YED,15.18,2
cam1__YCA__44903__20260410_213243_577550.jpg,cam1,YCA,13.18,2
cam2__YCA__44903__20260410_213243_415362.jpg,cam2,YCA,12.71,1
cam2__YED__26358__20260410_213334_809020.jpg,cam2,YED,15.18,2
cam1__YED__26358__20260410_213334_886333.jpg,cam1,YED,15.18,2
cam2__YCA__44904__20260410_213429_425937.jpg,cam2,YCA,12.71,1
cam1__YCA__44904__20260410_213429_394466.jpg,cam1,YCA,13.06,2
cam2__YED__26359__20260410_213520_888473.jpg,cam2,YED,14.94,2
cam1__YED__26359__20260410_213520_792105.jpg,cam1,YED,15.18,2
cam2__YED__57792__20260410_213614_773876.jpg,cam2,YED,14.71,1
cam1__YED__57792__20260410_213614_819889.jpg,cam1,YED,15.06,2
cam2__YED__26360__20260410_213707_599739.jpg,cam2,YED,15.06,2
cam1__YED__26360__20260410_213707_642967.jpg,cam1,YED,15.06,2
cam1__YCA__44905__20260410_213800_196610.jpg,cam1,YCA,12.94,2
cam2__YCA__44905__20260410_213800_242531.jpg,cam2,YCA,13.06,2
cam1__YED__26361__20260410_213851_453083.jpg,cam1,YED,15.18,2
cam2__YED__26361__20260410_213851_453083.jpg,cam2,YED,14.94,2
cam2__YCA__44906__20260410_213948_996961.jpg,cam2,YCA,12.71,1
cam1__YCA__44906__20260410_213949_014707.jpg,cam1,YCA,13.06,2
cam2__YED__26362__20260410_214046_476273.jpg,cam2,YED,14.71,1
cam1__YED__26362__20260410_214046_665277.jpg,cam1,YED,15.18,2
cam2__YCA__44907__20260410_214148_107931.jpg,cam2,YCA,13.18,2
cam2__YED__26363__20260410_214239_671848.jpg,cam2,YED,15.18,2
cam2__YED__57793__20260410_214334_635706.jpg,cam2,YED,15.06,2
cam2__YCA__5670__20260410_214427_238253.jpg,cam2,YCA,13.06,2
cam1__YCA__44907__20260410_214148_011957.jpg,cam1,YCA,N/A,0
cam2__YED__57794__20260410_214518_925416.jpg,cam2,YED,15.18,2
cam1__YED__57794__20260410_214518_516659.jpg,cam1,YED,15.18,2
cam2__YED__26364__20260410_214613_354061.jpg,cam2,YED,15.06,2
cam1__YED__26364__20260410_214613_333530.jpg,cam1,YED,15.18,2
cam2__YCA__44908__20260410_214722_455682.jpg,cam2,YCA,12.71,1
cam1__YCA__44908__20260410_214722_994733.jpg,cam1,YCA,13.18,2
cam1__YED__26365__20260410_214815_801922.jpg,cam1,YED,15.18,2
cam2__YED__26365__20260410_214816_400261.jpg,cam2,YED,15.06,2
cam2__YED__57795__20260410_214910_838730.jpg,cam2,YED,15.06,2
cam1__YED__57795__20260410_214910_205143.jpg,cam1,YED,15.18,2
cam1__YED__26366__20260410_215004_252824.jpg,cam1,YED,15.18,2
cam2__YED__26366__20260410_215004_267387.jpg,cam2,YED,15.18,2
cam2__YCA__44909__20260410_215055_174516.jpg,cam2,YCA,13.18,2
